#current test-bed topology for ndnSIM, converted by Ertugrul DOGRULUK, university of minho

router

#node comment yPos xPos

bb-cagliari bb-coruna 100Mbps 1 40ms 100
bb-cagliari bb-padua 100Mbps 1 25ms 100
bb-cagliari bb-wu 100Mbps 1 100ms 100
leaf-12571	bb-cagliari 1000Mbps 1 1ms 100
leaf-12573	bb-cagliari 1000Mbps 1 1ms 100
leaf-12579	bb-cagliari 1000Mbps 1 1ms 100
leaf-12577	bb-cagliari 1000Mbps 1 1ms 100
leaf-12583	bb-cagliari 1000Mbps 1 1ms 100
leaf-12581	bb-cagliari 1000Mbps 1 1ms 100
leaf-12584	bb-cagliari 1000Mbps 1 1ms 100
leaf-12614	bb-cagliari 1000Mbps 1 1ms 100
leaf-12587	bb-cagliari 1000Mbps 1 1ms 100
leaf-12604	bb-cagliari 1000Mbps 1 1ms 100
bb-caida bb-ufpa 100Mbps 1 155ms 100
bb-caida bb-ucla 100Mbps 1 3ms 100
bb-caida bb-uci 100Mbps 1 3ms 100
bb-caida bb-tongji 100Mbps 1 93ms 100
leaf-12606	bb-caida  1000Mbps 1 1ms 100
leaf-12622	bb-caida  1000Mbps 1 1ms 100
leaf-12729	bb-caida  1000Mbps 1 1ms 100
leaf-12730	bb-caida  1000Mbps 1 1ms 100
leaf-12783	bb-caida  1000Mbps 1 1ms 100
leaf-12788	bb-caida  1000Mbps 1 1ms 100
leaf-12946	bb-caida  1000Mbps 1 1ms 100
leaf-12947	bb-caida  1000Mbps 1 1ms 100
leaf-13080	bb-caida  1000Mbps 1 1ms 100
leaf-12601	bb-caida  1000Mbps 1 1ms 100
bb-ufpa bb-caida 100Mbps 1 155ms 100
leaf-33107	bb-ufpa 1000Mbps 1 1ms 100
leaf-33109	bb-ufpa 1000Mbps 1 1ms 100
leaf-33111	bb-ufpa 1000Mbps 1 1ms 100
leaf-33108	bb-ufpa 1000Mbps 1 1ms 100
leaf-33119	bb-ufpa 1000Mbps 1 1ms 100
leaf-33140	bb-ufpa 1000Mbps 1 1ms 100
leaf-33142	bb-ufpa 1000Mbps 1 1ms 100
leaf-33143	bb-ufpa 1000Mbps 1 1ms 100
leaf-33144	bb-ufpa 1000Mbps 1 1ms 100
leaf-33141	bb-ufpa 1000Mbps 1 1ms 100
bb-coruna bb-urjc 100Mbps 1 17ms 100
bb-coruna bb-minho 100Mbps 1 27ms 100
leaf-12616	bb-coruna 1000Mbps 1 1ms 100
leaf-12617	bb-coruna 1000Mbps 1 1ms 100
leaf-12696	bb-coruna 1000Mbps 1 1ms 100
leaf-12707	bb-coruna 1000Mbps 1 1ms 100
leaf-12708	bb-coruna 1000Mbps 1 1ms 100
leaf-12709	bb-coruna 1000Mbps 1 1ms 100
leaf-12776	bb-coruna 1000Mbps 1 1ms 100
leaf-12885	bb-coruna 1000Mbps 1 1ms 100
leaf-12952	bb-coruna 1000Mbps 1 1ms 100
leaf-12789	bb-coruna 1000Mbps 1 1ms 100
